시군,펌프,위치(읍면),위치(리동),주용도,배수유역,모타(HPX대),펌프(mmX대),처리능력,유수지,계획,설치자,관리자,설치,비고
포항시,형산,,상도,내수,606,1250HP×3대 1100HP×2대,1500mm×5대,2130,105000,20,포항시장,포항시장,1993,형산강(국가)
포항시,공단,,제철,내수,580,215HP×5대. 500HP×3대,900mm×5대 1650mm×3대,1624,180000,20,포항시장,포항시장,1994,구무천(소하천)
포항시,해도,,송도,내수,223,500HP×6대,1500mm×6대,2040,1731,20,포항시장,포항시장,2002,형산강(국가)
포항시,연일,연일,생지,내수,818,473HP×6대,1350mm×6대,1482,10000,20,포항시장,포항시장,2001,형산강(국가)
포항시,대송,대송,제네,내수,85,200HP×4대,1200mm×4대,564,5236,20,포항시장,포항시장,1994,칠성천(지방2급)
포항시,장성,,장성,내수,22,20HP×1대 25HP×1대 87HP×2대,200mm×1대 300mm×1대 400mm×1대 500mm×1대,70,313,20,포항시장,포항시장,1994,내수
포항시,송도,,송도,내수,43,50HP×3대,800mm×3대,270,218,20,포항시장,포항시장,2002,형산강(국가)
포항시,대도,,상대,내수,80,20HP×1대 30HP×1대 47HP×1대,200mm×1대 300mm×1대 150mm×1대,26,150,20,포항시장,포항시장,1990,내수
포항시,눌태리,구룡포,눌태,내수,56,160HP×3대 90HP×1대,900mm×3대 600mm×1대,340,2200,20,포항시장,포항시장,2006,눌태(소하천)
포항시,송도 내항,,송도,내수,8,50HP×1대 40HP×1대,600mm×1대 450mm×1대,60,180,20,포항시장,포항시장,2006,바다
포항시,창포,,창포,내수,3,100HP×2대 50HP×2대,500mm×2대 350mm×2대,85,180,20,포항시장,포항시장,2007,내수
포항시,학산,,학산,내수,6,100HP×2대,500mm×2대,70,0,20,포항시장,포항시장,2003,칠성천
포항시,구무천,,송내,내수,17,180HP×2대,1000mm×2대,262,0,30,포항시장,포항시장,2004,구무천
포항시,죽도2,,죽도,내수,223,270HP×3대 180HP×1대,1000mm×3대 800mm×1대,400,3500,20,포항시장,포항시장,2011,동빈내항
포항시,영흥,,죽도,내수,10,75HP×3대,500mm×3대,90,1100,20,포항시장,포항시장,2011,동빈내항
포항시,효자,,효자,내수,589.1,200HP×3대 100HP×1대 ,800mm×3대 600mm×1대,280,13200,30,포항시장,포항시장,2017,형산강(국가하천)
